name,type1,type2,forms,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,type1_alt,type2_alt,type1_alt1,type2_alt1,type1_alt2,type2_alt2,type1_alt3,type2_alt3,type1_alt4,type2_alt4,pokedex_number
Rhyhorn,ground,rock,1,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,None,None,None,None,None,None,None,None,None,None,111
Rhydon,ground,rock,1,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,None,None,None,None,None,None,None,None,None,None,112
Chansey,normal,None,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,113
Tangela,grass,None,1,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,114
Kangaskhan,normal,None,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,115
Horsea,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,116
Seadra,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,117
Goldeen,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,118
Seaking,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,119
Staryu,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,120
Starmie,water,psychic,1,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,121
Mr. Mime,psychic,fairy,1,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,122
Scyther,bug,flying,1,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,123
Jynx,ice,psychic,1,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,124
Electabuzz,electric,None,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,None,None,None,None,None,None,None,None,None,None,125
Magmar,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,126
